epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.6657,1.51558,1.95448,1.98144,0.07144,0.13671,0.03484,0.00852,3.22797,4.08246,4.18016,0.0700594,0.00332673,0.00332673
2,137.003,1.46798,1.75998,1.9359,0.39891,0.32899,0.28468,0.12315,2.04196,3.60651,2.22521,0.0400529,0.00665356,0.00665356
3,200.524,1.33465,1.5786,1.8164,0.63952,0.47722,0.52553,0.30558,1.82787,2.59787,2.03007,0.0100204,0.00995439,0.00995439
4,260.757,1.2758,1.46749,1.75861,0.77342,0.53842,0.63896,0.37062,1.71696,1.98572,1.90887,0.00991232,0.00991232,0.00991232
5,321.094,1.20552,1.35043,1.69484,0.82921,0.52756,0.61915,0.35813,1.80224,1.9398,1.93643,0.00984449,0.00984449,0.00984449
6,383.432,1.15239,1.26133,1.64139,0.80521,0.55083,0.656,0.39792,1.66059,1.9294,1.83203,0.00975773,0.00975773,0.00975773
7,444.861,1.11938,1.21222,1.60956,0.77416,0.5313,0.59766,0.38469,1.56004,2.11347,1.77449,0.00965239,0.00965239,0.00965239
8,504.757,1.08735,1.17121,1.58604,0.91171,0.56364,0.71315,0.43235,1.56817,1.75268,1.74618,0.00952889,0.00952889,0.00952889
9,564.648,1.06491,1.11734,1.56639,0.85693,0.54982,0.67247,0.403,1.6552,1.71597,1.82911,0.00938772,0.00938772,0.00938772
10,624.339,1.03806,1.08223,1.54478,0.8398,0.59325,0.71643,0.4242,1.66328,1.64041,1.78053,0.00922942,0.00922942,0.00922942
11,684.457,1.01786,1.05091,1.52725,0.89635,0.59329,0.74451,0.462,1.53969,1.47542,1.70407,0.00905463,0.00905463,0.00905463
12,744.131,1.00387,1.02323,1.51418,0.84287,0.60391,0.71908,0.4175,1.66826,1.66104,1.79158,0.00886404,0.00886404,0.00886404
13,803.593,0.97547,0.98476,1.47893,0.8644,0.62883,0.75712,0.49901,1.40688,1.39813,1.57497,0.00865839,0.00865839,0.00865839
