epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.0696,2.56626,4.53859,2.9122,0,0,0,0,3.59695,5.03061,3.9063,0.0700186,0.00333127,0.00333127
2,162.783,2.27018,3.94934,2.67391,0.00197,0.02804,0.0011,0.00024,3.65713,4.86938,3.96661,0.0400121,0.00665809,0.00665809
3,238.213,2.22443,3.94225,2.61828,0,0,0,0,3.43714,4.97137,3.85465,0.00997957,0.00995891,0.00995891
4,312.134,2.20108,3.95247,2.54695,0,0,0,0,3.14288,5.15508,3.41637,0.00991232,0.00991232,0.00991232
5,387.434,2.14361,3.94484,2.4838,0.00673,0.05258,0.00374,0.00086,3.06946,4.85376,3.32269,0.00984449,0.00984449,0.00984449
6,463.617,2.10709,3.90973,2.40671,0.00079,0.02303,0.00041,9e-05,3.38511,4.72109,3.77695,0.00975773,0.00975773,0.00975773
7,539.913,2.04484,3.89725,2.37613,0.00111,0.00551,0.00058,0.00018,3.27545,4.7077,3.5767,0.00965239,0.00965239,0.00965239
8,614.282,2.03032,3.89056,2.33302,0.01487,0.0656,0.00794,0.00198,3.24235,4.49943,3.63144,0.00952889,0.00952889,0.00952889
9,690.19,1.9731,3.87693,2.29223,0.00191,0.01452,0.00099,0.00023,3.57811,4.87171,3.87321,0.00938772,0.00938772,0.00938772
10,767.424,1.95195,3.90085,2.2847,0.01688,0.25839,0.01187,0.00315,3.21183,4.61606,3.50736,0.00922942,0.00922942,0.00922942
11,841.359,1.8873,3.83787,2.233,0.01807,0.18077,0.01096,0.00237,3.55736,4.4615,3.89743,0.00905463,0.00905463,0.00905463
12,914.838,1.87739,3.85463,2.19604,0.00547,0.01352,0.0028,0.00069,3.27868,5.03049,3.64823,0.00886404,0.00886404,0.00886404
13,988.898,1.86087,3.83546,2.17604,0.00531,0.00651,0.00275,0.00079,3.02636,5.35234,3.4211,0.00865839,0.00865839,0.00865839
