epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.5023,1.18175,1.7638,1.59753,0.79024,0.54632,0.67382,0.44769,1.3555,1.67042,1.49822,0.0701186,0.00332016,0.00332016
2,185.514,1.0426,1.09931,1.46245,0.52689,0.41813,0.44032,0.20982,2.18806,2.6036,2.51649,0.0401121,0.00664699,0.00664699
3,281.471,1.11939,1.13135,1.52927,0.51976,0.40861,0.39318,0.20484,1.88696,5.11641,2.20697,0.0100796,0.00994784,0.00994784
4,364.636,1.13928,1.13004,1.55025,0.8286,0.64152,0.74332,0.40507,1.70426,1.71475,1.94099,0.00991232,0.00991232,0.00991232
5,442.719,1.0535,0.98937,1.47128,0.81176,0.64352,0.72597,0.44448,1.45062,1.98249,1.70349,0.00984449,0.00984449,0.00984449
6,515.577,1.00536,0.90819,1.4295,0.90376,0.68202,0.81686,0.5325,1.34887,1.30214,1.50349,0.00975773,0.00975773,0.00975773
7,603.642,0.95918,0.84543,1.38795,0.90145,0.7008,0.82225,0.58361,1.22228,1.07698,1.4219,0.00965239,0.00965239,0.00965239
8,692.285,0.93553,0.82307,1.36626,0.84922,0.74738,0.85144,0.57051,1.29997,1.07919,1.43299,0.00952889,0.00952889,0.00952889
9,777.785,0.91006,0.77519,1.34266,0.89925,0.77318,0.87974,0.65767,1.05218,0.99262,1.30233,0.00938772,0.00938772,0.00938772
10,857.676,0.8907,0.75691,1.33113,0.90328,0.77516,0.88028,0.64957,1.09565,0.93841,1.30767,0.00922942,0.00922942,0.00922942
11,930.29,0.86687,0.71957,1.31043,0.89918,0.81281,0.89744,0.61298,1.24044,0.90372,1.40387,0.00905463,0.00905463,0.00905463
12,1001.65,0.85693,0.69721,1.30227,0.91586,0.7958,0.89382,0.5962,1.32977,0.90089,1.43225,0.00886404,0.00886404,0.00886404
13,1084.42,0.84703,0.68928,1.29286,0.86184,0.8032,0.89293,0.64143,1.136,0.92291,1.32011,0.00865839,0.00865839,0.00865839
14,1175.17,0.82367,0.66297,1.27182,0.89002,0.79427,0.8911,0.65413,1.09543,0.91994,1.32543,0.00843851,0.00843851,0.00843851
15,1262.57,0.81164,0.65364,1.26586,0.93962,0.79569,0.89971,0.69026,1.01613,0.83315,1.24838,0.00820525,0.00820525,0.00820525
16,1342.8,0.79573,0.62589,1.24989,0.91998,0.84026,0.92259,0.69112,1.03721,0.84995,1.24029,0.00795954,0.00795954,0.00795954
17,1415.59,0.79073,0.62353,1.24879,0.93848,0.83926,0.92924,0.69228,1.03193,0.73613,1.23773,0.00770234,0.00770234,0.00770234
