epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,341.218,0.90073,1.33249,1.21943,0.82665,0.68753,0.7952,0.58828,1.04815,1.30907,1.28245,0.0700186,0.00333127,0.00333127
2,669.692,0.83855,0.92175,1.16412,0.86967,0.75182,0.86168,0.66237,0.9636,1.22951,1.22254,0.0400121,0.00665809,0.00665809
3,994.835,0.88724,0.93939,1.19412,0.8404,0.70667,0.82152,0.61432,1.033,1.38448,1.30482,0.00997957,0.00995891,0.00995891
4,1319.34,0.90289,0.94071,1.20561,0.88122,0.71457,0.83937,0.64367,0.9839,1.14755,1.26793,0.00991232,0.00991232,0.00991232
5,1643.86,0.84171,0.83561,1.16467,0.90717,0.76164,0.87961,0.68816,0.93222,1.0476,1.20121,0.00984449,0.00984449,0.00984449
6,1968.74,0.79218,0.75802,1.13138,0.9211,0.78336,0.89661,0.71879,0.85863,0.90434,1.15677,0.00975773,0.00975773,0.00975773
7,2293.26,0.75468,0.70429,1.10834,0.91058,0.82098,0.91043,0.73638,0.83569,0.87009,1.12474,0.00965239,0.00965239,0.00965239
8,2617.94,0.7339,0.67335,1.0945,0.90723,0.83525,0.92284,0.74261,0.81858,0.80628,1.10264,0.00952889,0.00952889,0.00952889
9,2942.12,0.70866,0.64119,1.08249,0.93635,0.81774,0.92415,0.7591,0.81002,0.76303,1.10121,0.00938772,0.00938772,0.00938772
10,3266.77,0.68728,0.61631,1.07152,0.94482,0.84477,0.9387,0.77143,0.78664,0.7535,1.07628,0.00922942,0.00922942,0.00922942
11,3591.24,0.66367,0.59144,1.05847,0.95765,0.84377,0.93904,0.77967,0.75116,0.68097,1.05846,0.00905463,0.00905463,0.00905463
12,3915.42,0.64131,0.5606,1.04518,0.94623,0.87381,0.9447,0.78656,0.73631,0.6571,1.04896,0.00886404,0.00886404,0.00886404
13,4239.48,0.6286,0.54771,1.03749,0.95939,0.86353,0.94651,0.79972,0.7122,0.63988,1.03451,0.00865839,0.00865839,0.00865839
14,4563.91,0.61533,0.53022,1.03375,0.95964,0.86923,0.94547,0.80033,0.70785,0.62803,1.02711,0.00843851,0.00843851,0.00843851
15,4887.85,0.60773,0.52472,1.02868,0.95004,0.88833,0.95663,0.82513,0.67095,0.58892,1.00105,0.00820525,0.00820525,0.00820525
16,5302.72,0.58261,0.49918,1.01392,0.93933,0.91492,0.96086,0.82613,0.66744,0.56178,0.9871,0.00795954,0.00795954,0.00795954
17,5645.84,0.57731,0.49746,1.01517,0.96382,0.90736,0.96111,0.82886,0.65142,0.5479,0.97245,0.00770234,0.00770234,0.00770234
18,5970.21,0.56553,0.48159,1.00625,0.9674,0.91187,0.96472,0.83312,0.64234,0.54601,0.98076,0.00743468,0.00743468,0.00743468
